Release Date,Model,Family,Discontinued
"April 11, 1976",Apple I,Apple I,"September 30, 1977"
"June 1, 1977",Apple II,Apple II,"May 1, 1979"
"June 1, 1978",Disk II,Drives,"May 1, 1984"
"June 1, 1979",Apple II Plus,Apple II,"December 1, 1982"
"November 1, 1980",Apple III,Apple III,"December 1, 1981"
"September 1, 1981",Apple ProFile,Drives,"September 1, 1986"
"December 1, 1981",Apple III Revised,Apple III,"December 1, 1983"
"October 1, 1982",Apple Dot Matrix Printer,Printers,"December 1, 1983"
"January 1, 1983",Apple IIe,Apple II,"March 1, 1985"
"January 19, 1983",Apple Lisa,68000,"January 1, 1984"
"December 1, 1983",Apple III Plus,Apple III,"April 24, 1984"
"January 1, 1984",Apple Lisa 2,68000,"August 1, 1986"
"January 24, 1984",Macintosh (128K),Compact,"September 10, 1984"
"April 1, 1984",Apple IIc,Apple II,"August 1, 1988"
"May 1, 1984",DuoDisk,Drives,Unknown
"June, 1984",Apple 410 Color Plotter,Printers,Unknown
"September 10, 1984",Macintosh 512K,Compact,"April 14, 1986"
December 1984,AppleColor 100,Displays,Unknown
"January 1, 1985",Macintosh XL,68000,"April 1, 1985"
"March 1, 1985",Apple IIe Enhanced,Apple II,"January 1, 1987"
"April 1, 1985",Apple Personal Modem,Modems,Unknown
June 1985,Apple UniDisk,Drives,"September 1, 1986"
"September 1, 1985",Macintosh Hard Disk 20,Drives,Unknown
"January 16, 1986",Macintosh Plus,Compact,"October 15, 1990"
"April 14, 1986",Macintosh 512Ke,Compact,"October 1, 1987"
"September 15, 1986",Apple IIGS,Apple II,"December 1, 1992"
"January 1, 1987",Macintosh Plus (Platinum),Compact,"October 15, 1990"
"March 2, 1987",Macintosh SE,Compact,"August 1, 1989"
"August, 1987",ImageWriter LQ,Printers,December 1990
"January 1, 1988","LaserWriterII SC, II NT, II NTX",Printers,Unknown
March 1988,AppleCD SC,Drives,Unknown
August 1988,Apple Scanner,Scanner,Unknown
"September 1, 1988",Apple IIc Plus,Apple II,"September 1, 1990"
"September 19, 1988",Macintosh IIx,Macintosh II,"October 15, 1990"
"January 19, 1989",Macintosh SE/30,Compact,"October 21, 1991"
"March 7, 1989",Macintosh IIcx,Mac II,"March 11, 1991"
July 1989,Apple Modem 2400,Modems,December 1992
"August 1, 1989",Macintosh SE FDHD,Compact,"October 15, 1990"
"September 20, 1989",Macintosh IIci,Mac II,"February 20, 1993"
"October 1, 1989","Apple IIGS (1 MB, ROM 3)",Apple II,"December 1, 1992"
"March 19, 1990",Macintosh IIfx,Mac II,"April 15, 1992"
"June 1, 1990",Personal LaserWriter SC,LaserWriter,"September 1, 1993"
"October 15, 1990",Macintosh LC,Macintosh LC,"March 23, 1992"
"February 11, 1991",Macintosh Portable(backlit screen),Portable,"October 21, 1991"
"March 1, 1991",Apple IIe Card,Apple II,"May 1, 1995"
"July 1, 1991",Personal LaserWriter NT,LaserWriter,Unknown
"October 21, 1991",Macintosh Classic II,Compact,"September 13, 1993"
"March 1, 1992",Personal LaserWriter NTR,LaserWriter,"September 1, 1993"
"March 23, 1992",Macintosh LC II,Macintosh LC,"March 15, 1993"
"May 18, 1992",Macintosh Quadra 950,Quadra,"October 14, 1995"
"August 3, 1992",PowerBook 145,PowerBook 100,"July 7, 1993"
"September 14, 1992",Apple Performa Plus Display,Display,"July 18, 1994"
"October 19, 1992",Macintosh IIvi,Mac II,"February 10, 1993"
"January 1, 1993",StyleWriter II,StyleWriter,"April 17, 1995"
"February 10, 1993",Macintosh LC III,Macintosh LC,"February 14, 1994"
"March 22, 1993",Workgroup Server 80,Workgroup Server,"October 17, 1995"
"June 7, 1993",PowerBook 145b,PowerBook 100,"July 18, 1994"
"June 1, 1993",Personal LaserWriter 300,LaserWriter,"September 1, 1994"
"June 23, 1993",Portable StyleWriter,StyleWriter,"May 15, 1995"
"June 28, 1993",Macintosh LC 520,Macintosh LC,"February 2, 1994"
"July 26, 1993",Workgroup Server 60,Workgroup Server,"October 17, 1995"
"July 29, 1993",Macintosh Centris/Quadra 660AV,Quadra,"September 12, 1994"
"August 1, 1993",Apple AudioVision 14 Display,Display,"October 14, 1995"
"August 16, 1993",Newton Message Pad,Newton,"March 1, 1994"
"October 1, 1993",LaserWriter Select 360,LaserWriter,"April 22, 1996"
"October 18, 1993",Macintosh LC III+,Macintosh LC,"February 14, 1994"
"October 21, 1993",Macintosh TV,Macintosh LC,"February 1, 1995"
"February 1, 1994",Macintosh LC 550,Macintosh LC,"March 23, 1995"
"February 28, 1994",Quadra 610 DOS Compatible,Quadra,"June 13, 1994"
"March 14, 1994",Power Macintosh 6100,Power Macintosh,"May 18, 1996"
"April 25, 1994",Workgroup Server 6150,Workgroup Server,"October 1, 1995"
"May 16, 1994",PowerBook 520c,PowerBook 500,"September 16, 1995"
"July 18, 1994",Quadra 630,Quadra,"April 17, 1995"
"September 1, 1994",Color StyleWriter 2400,StyleWriter,Unknown
"November 3, 1994",Macintosh LC 630,LC,"March 2, 1996"
"December 1, 1994",Pippin,Pippin,"December 1, 1997"
"January 28, 1995",Power Macintosh 6200 / 6300,Power Macintosh,"October 17, 1996"
"February 23, 1995",Power Macintosh 8115,Power Macintosh,Unknown
"April 1, 1995",StyleWriter 1200,StyleWriter,Unknown
"April 3, 1995",Macintosh LC 580,Macintosh LC,"October 1, 1995"
"May 1, 1995",Power Macintosh 6200,Power Macintosh,"July 1, 1997"
"May 15, 1995",PowerBook Duo Dock Plus,PowerBook Duo,Unknown
"June 1, 1995",LaserWriter 4/600 PS,LaserWriter,Unknown
"June 19, 1995",Power Macintosh 9500,Power Macintosh,"February 17, 1997"
"August 7, 1995",Power Macintosh 7200,Power Macintosh,"April 1, 1996"
